OBJECTID,COUNTY,COUNTY_LAB,CO,GNIS_NAME,GNIS,FIPSSTCO,FIPSCO,ACRES,SQ_MILES,POP2020,POP2010,POP2000,POP1990,POP1980,POPDEN2020,POPDEN2010,POPDEN2000,POPDEN1990,POPDEN1980,REGION,Shape__Area,Shape__Length
1,ATLANTIC,Atlantic County,ATL,County of Atlantic,882270,34001,1,390813.84096806,610.646626512593,274534,274549,252552,275372,204615,450,450,414,451,335,COASTAL,2658562824.80078,256978.973894639
2,BERGEN,Bergen County,BER,County of Bergen,882271,34003,3,153491.054911059,239.82977329853,955732,905116,884118,829592,849843,3985,3774,3686,3459,3544,NORTHEASTERN,1090488035.71484,179179.933416182
3,BURLINGTON,Burlington County,BUR,County of Burlington,882272,34005,5,524901.239967209,820.158187448765,461860,448734,423394,395066,362542,563,547,516,482,442,SOUTHERN,3612008114.30469,313552.481126803
4,CAMDEN,Camden County,CAM,County of Camden,882273,34007,7,145594.972008188,227.492143762793,523485,513657,508932,532498,471650,2301,2258,2237,2341,2073,SOUTHERN,999715320.578125,196731.278547363
5,CAPE MAY,Cape May County,CAP,County of Cape May,882274,34009,9,183125.841721265,286.134127689476,95263,97265,102326,95089,82266,333,340,358,332,288,COASTAL,1234165375.43359,202491.650417674
6,CUMBERLAND,Cumberland County,CUM,County of Cumberland,882275,34011,11,321149.036971801,501.795370268439,154152,156898,146438,138053,132866,307,313,292,275,265,SOUTHERN,2178046275.44141,277872.261455668
7,ESSEX,Essex County,ESS,County of Essex,882276,34013,13,83034.5273496007,129.741448983751,863728,783969,793633,748281,850451,6657,6043,6117,5767,6555,NORTHEASTERN,586862595.550781,138792.891543144
8,GLOUCESTER,Gloucester County,GLO,County of Gloucester,882277,34015,15,215075.237102176,336.055057972149,302294,288288,254673,230082,199917,900,858,758,685,595,SOUTHERN,1473047957.11328,222543.885874771
9,HUDSON,Hudson County,HUD,County of Hudson,882278,34017,17,32980.8751759431,51.5326174624111,724854,634266,608975,553099,556972,14066,12308,11817,10733,10808,NORTHEASTERN,232755311.601563,153526.228729093
10,HUNTERDON,Hunterdon County,HUN,County of Hunterdon,882228,34019,19,279878.219085594,437.309717321241,128947,128349,121989,107776,87361,295,293,279,246,200,CENTRAL,1965171692.99219,225358.404001394
11,MERCER,Mercer County,MER,County of Mercer,882229,34021,21,146441.753603893,228.815240006083,387340,366513,350761,325824,307863,1693,1602,1533,1424,1345,CENTRAL,1019688770.44531,193443.709903478
12,MIDDLESEX,Middlesex County,MID,County of Middlesex,882230,34023,23,202858.750093499,316.966797021092,863162,809858,750162,671780,595893,2723,2555,2367,2119,1880,CENTRAL,1419024369.38672,202626.418312337
13,MONMOUTH,Monmouth County,MON,County of Monmouth,882910,34025,25,310833.021544234,485.676596162866,643615,630380,615301,638345,582982,1325,1298,1267,1314,1200,COASTAL,2162855009.16016,293145.100082245
14,MORRIS,Morris County,MOR,County of Morris,882231,34027,27,308083.197202429,481.379995628796,509285,492276,470212,421353,407630,1058,1023,977,875,847,NORTHEASTERN,2182354420.83594,302527.417949154
15,OCEAN,Ocean County,OCE,County of Ocean,882279,34029,29,485076.500518907,757.932032060792,637229,576567,510916,443424,356502,841,761,674,585,470,COASTAL,3338632657.74219,287509.518350648
16,PASSAIC,Passaic County,PAS,County of Passaic,882232,34031,31,127008.392304989,198.450612976545,524118,501226,489049,453060,447585,2641,2527,2466,2284,2257,NORTHEASTERN,904350559.621094,199331.804791555
17,SALEM,Salem County,SAL,County of Salem,882233,34033,33,222157.767414112,347.121511584549,64837,66083,64285,65294,64676,187,190,185,188,186,SOUTHERN,1515821204.77734,262980.450142761
18,SOMERSET,Somerset County,SOM,County of Somerset,882234,34035,35,195126.582675602,304.885285430628,345361,323444,297490,240279,203129,1133,1061,976,788,666,CENTRAL,1369969176.16406,217501.436243051
19,SUSSEX,Sussex County,SUS,County of Sussex,882236,34037,37,342617.226752403,535.33941680063,144221,149265,144166,138991,123621,269,279,269,260,231,NORTHWESTERN,2447330674.33594,212923.566969105
20,UNION,Union County,UNI,County of Union,882235,34039,39,67438.322840066,105.372379437603,575345,536499,522541,493819,504094,5460,5091,4959,4686,4784,NORTHEASTERN,474837206.855469,129316.662330559
21,WARREN,Warren County,WAR,County of Warren,882237,34041,41,232042.039058597,362.565686029058,109632,108692,102437,91607,84429,302,300,283,253,233,NORTHWESTERN,1643404527.61328,223643.160554637
