Data taken from https://www.sustainablejersey.com/fileadmin/media/resources/Data_Center/Community_Profile_Data_by_Municipality_3.12.25.xlsx ,,,,,Population Characteristics,,,,,,,,,,,,,C&I Properties,General Housing Characteristics,,,,,,Units by Year Structure Built*,,,,,,,,,,Units by Structure Type,,,,,,,,,Occupied Housing Units Primary Heating Fuels,,,,,,,,,Vehicles Available by Occupied Household,,,,Means of Transportation to Work,,,,,,,
Municipality,County,ACS Year,Square Miles,Residential Density (Housing Units / Sq Mile),Population,% White,% Black or African American,% Hispanic or Latino Origin*,% American Indian and Alaska Native,% Asian alone,% Native Hawaiian and Other Pacific Islander alone,% Some other race alone,% Two or more races,Median Household Income,Percent of Population in Poverty,NJ DCA MRI Score*,NJ DCA MRI Rank*,Commercial & Industrial Properties,Total Housing Units*,Total Occupied Housing Units,% Occupied housing units,% Owner-occupied,% Renter-occupied,<75% Occupied*,2020 or later,2010 to 2019 *,2000 to 2009,1990 to 1999,1980 to 1989,1970 to 1979,1960 to 1969,1950 to 1959,1940 to 1949,1939 or earlier,"1-unit, detached","1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more,Mobile home,"Boat, RV, van, etc.",Utility gas,Electricity,"Bottled, tank, or LP gas","Fuel oil, kerosene, etc.",Coal or coke,Wood,Solar Energy,Other fuel,No fuel used,No vehicles available,1 vehicle available,2 vehicles available,3 or more vehicles available,Total Workers 16 Years and Over,"Car, truck, or van -- drove alone","Car, truck, or van -- carpooled",Public transportation (excluding taxicab),Walked,Other means,Worked from home,Mean travel time to work (minutes)
Aberdeen Twp,Monmouth,2023,5.4,"1,501","19,274",63.00%,9.10%,14.10%,0.00%,8.40%,0.10%,1.70%,3.60%,"$124,074",4.10%,25.1,360,178,"8,104","7,956",98%,71%,29%,,90,"1,039",534,597,"1,054",766,"2,279",775,261,709,"4,865",785,145,375,435,535,949,15,0,79.90%,15.30%,2.30%,1.20%,0.00%,0.00%,0.00%,0.20%,1.00%,350,"2,511","3,509","1,586","10,810",72.00%,4.30%,8.50%,0.60%,1.80%,12.80%,34.2
Absecon City,Atlantic,2023,5.5,683,"9,099",65.90%,10.20%,15.20%,0.00%,5.60%,0.80%,0.00%,2.40%,"$77,516",8.70%,38.2,120,189,"3,759","3,559",95%,73%,27%,,198,281,579,239,435,235,439,491,314,548,"2,601",390,79,75,59,180,363,12,0,78.80%,13.60%,1.00%,5.70%,0.00%,0.00%,0.40%,0.00%,0.50%,56,"1,396","1,527",580,"4,384",81.70%,5.80%,2.90%,1.20%,0.10%,8.40%,19.2
Alexandria Twp,Hunterdon,2023,27.5,68,"4,815",87.90%,5.50%,2.60%,0.00%,1.30%,0.10%,0.00%,2.70%,"$156,797",5.70%,21.1,448,36,"1,863","1,806",97%,92%,8%,,0,25,248,457,316,236,145,73,37,326,"1,806",0,0,0,0,0,57,0,0,6.10%,4.70%,28.30%,57.80%,0.00%,1.80%,0.00%,1.20%,0.00%,28,266,893,619,"2,076",64.20%,5.30%,0.00%,0.00%,0.00%,30.50%,39.9
Allamuchy Twp,Warren,2023,20,125,"5,373",84.40%,7.50%,6.10%,0.00%,0.80%,0.00%,0.00%,1.30%,"$130,170",3.60%,20.9,460,19,"2,501","2,439",98%,86%,14%,,0,391,341,240,494,739,180,8,58,50,988,"1,150",0,203,160,0,0,0,0,79.20%,8.10%,1.60%,8.70%,0.00%,1.70%,0.00%,0.70%,0.00%,35,659,"1,251",494,"2,771",75.20%,2.40%,2.90%,0.00%,1.60%,17.90%,42.1
Allendale Boro,Bergen,2023,3.1,808,"6,820",74.30%,0.90%,2.40%,0.00%,17.00%,0.00%,0.00%,5.40%,"$156,992",3.30%,20.1,477,64,"2,505","2,332",93%,77%,23%,,0,216,55,413,252,150,439,498,42,440,"1,767",203,38,12,14,0,471,0,0,90.50%,3.10%,1.40%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,184,427,"1,175",546,"2,837",54.60%,1.80%,11.40%,0.70%,0.60%,30.90%,38.3
Allenhurst Boro,Monmouth,2023,0.3,"1,123",387,76.50%,1.00%,10.30%,0.00%,1.00%,0.00%,0.00%,11.10%,"$96,500",5.70%,25,362,28,337,168,50%,52%,48%,Yes,0,7,7,13,9,19,17,12,45,208,263,7,17,11,11,26,2,0,0,79.20%,17.90%,0.00%,0.00%,0.00%,0.00%,0.00%,1.20%,1.80%,5,93,52,18,196,76.50%,5.10%,4.10%,3.10%,1.00%,10.20%,29.3
Allentown Boro,Monmouth,2023,0.6,"1,202","1,926",83.20%,6.70%,5.40%,0.00%,1.90%,0.00%,0.00%,2.90%,"$134,583",3.60%,24.6,378,40,721,683,95%,78%,22%,,0,0,14,67,17,131,42,154,76,220,583,29,26,16,33,30,4,0,0,76.40%,13.50%,0.00%,7.80%,0.00%,0.00%,0.00%,1.90%,0.40%,18,153,314,198,"1,040",75.90%,4.10%,0.50%,1.80%,0.00%,17.70%,30.8
Alloway Twp,Salem,2023,33.5,40,"3,292",85.30%,6.90%,3.20%,0.00%,0.00%,0.40%,0.40%,3.80%,"$120,227",1.10%,28.8,267,35,"1,330","1,262",95%,89%,11%,,0,139,128,314,110,132,78,79,51,299,"1,299",0,0,0,0,0,8,23,0,2.30%,12.00%,20.60%,46.00%,0.00%,10.60%,1.80%,3.70%,2.90%,30,177,701,354,"1,671",83.50%,3.90%,1.30%,0.70%,3.10%,7.60%,32.8
Alpha Boro,Warren,2023,1.7,601,"2,249",82.40%,1.40%,8.60%,0.00%,1.50%,0.90%,0.00%,5.20%,"$83,125",7.00%,33.9,177,68,"1,022",983,96%,73%,27%,,0,0,64,32,75,110,196,191,54,300,660,130,92,43,15,26,49,0,7,64.80%,7.00%,1.60%,25.40%,0.00%,0.00%,0.40%,0.00%,0.70%,41,270,428,244,"1,202",77.60%,10.10%,0.10%,2.10%,0.00%,10.10%,24.2
Alpine Boro,Bergen,2023,6.4,93,"1,503",58.80%,4.60%,3.80%,0.00%,29.00%,0.00%,0.00%,3.80%,"250,000+",3.30%,17.2,523,18,593,517,87%,93%,7%,,0,51,61,57,167,67,77,30,38,45,556,14,7,0,8,0,8,0,0,84.70%,9.70%,0.80%,4.30%,0.00%,0.00%,0.60%,0.00%,0.00%,12,98,214,193,643,65.60%,12.90%,4.50%,1.90%,0.20%,14.90%,32.2
